Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;Fluminense;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Copa do Brasil;Fortaleza;São Paulo;3:1;Julio Casares (2021-Presente);1;3;Derrota
Campeonato Brasileiro Série A;São Paulo;Atlético-GO;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;América-MG;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Chapecoense;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Santos;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Cuiabá;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Ceará;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Bragantino;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Internacional;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Brasileiro Série A;Bahia;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Fortaleza;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Flamengo;0:4;Julio Casares (2021-Presente);0;4;Derrota
Campeonato Brasileiro Série A;Palmeiras;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Athletico-PR;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Sport;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;Grêmio;São Paulo;3:0;Julio Casares (2021-Presente);0;3;Derrota
